,ts_code,symbol,name,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
1234,002780.SZ,002780,三夫户外,北京,其他商业,北京三夫户外用品股份有限公司,"Beijing Sanfo Outdoor Products Co., Ltd",中小板,SZSE,CNY,L,20151209,,N
1235,002781.SZ,002781,奇信股份,深圳,装修装饰,深圳市奇信建设集团股份有限公司,"Shenzhen Qixin Construction Group Co.,Ltd.",中小板,SZSE,CNY,L,20151222,,N
1236,002782.SZ,002782,可立克,深圳,电气设备,深圳可立克科技股份有限公司,"Shenzhen Click Technology Co., Ltd.",中小板,SZSE,CNY,L,20151222,,S
1237,002783.SZ,002783,凯龙股份,湖北,化工原料,湖北凯龙化工集团股份有限公司,"Hubei Kailong Chemical Group Co.,Ltd.",中小板,SZSE,CNY,L,20151209,,N
1238,002785.SZ,002785,万里石,福建,其他建材,厦门万里石股份有限公司,"Xiamen Wanli Stone Stock Co.,Ltd",中小板,SZSE,CNY,L,20151223,,N
1239,002786.SZ,002786,银宝山新,深圳,专用机械,深圳市银宝山新科技股份有限公司,"Shenzhen Silver Basis Technology Co.,Ltd.",中小板,SZSE,CNY,L,20151223,,N
1240,002787.SZ,002787,华源控股,江苏,广告包装,苏州华源控股股份有限公司,"Suzhou Hycan Holdings Co., Ltd.",中小板,SZSE,CNY,L,20151231,,N
1241,002788.SZ,002788,鹭燕医药,福建,医药商业,鹭燕医药股份有限公司,"Luyan Pharma Co.,Ltd",中小板,SZSE,CNY,L,20160218,,N
1242,002789.SZ,002789,建艺集团,深圳,装修装饰,深圳市建艺装饰集团股份有限公司,"Shenzhen Jianyi Decoration Group Co.,Ltd.",中小板,SZSE,CNY,L,20160311,,N
1243,002790.SZ,002790,瑞尔特,福建,家居用品,厦门瑞尔特卫浴科技股份有限公司,"Xiamen R&T Plumbing Technology Co., Ltd.",中小板,SZSE,CNY,L,20160308,,N
1244,002791.SZ,002791,坚朗五金,广东,其他建材,广东坚朗五金制品股份有限公司,"Guangdong Kinlong Hardware Products Co.,Ltd.",中小板,SZSE,CNY,L,20160329,,N
1245,002792.SZ,002792,通宇通讯,广东,通信设备,广东通宇通讯股份有限公司,Tongyu Communication Inc.,中小板,SZSE,CNY,L,20160328,,N
1246,002793.SZ,002793,东音股份,浙江,专用机械,浙江东音泵业股份有限公司,"Zhejiang Doyin Pump Industry Co.,Ltd",中小板,SZSE,CNY,L,20160415,,N
1247,002795.SZ,002795,永和智控,浙江,机械基件,永和流体智控股份有限公司,"Yorhe Fluid Intelligent Control Co., Ltd",中小板,SZSE,CNY,L,20160428,,N
1248,002796.SZ,002796,世嘉科技,江苏,专用机械,苏州市世嘉科技股份有限公司,Suzhou Shijia Science & Technology Inc.,中小板,SZSE,CNY,L,20160510,,N
1249,002797.SZ,002797,第一创业,深圳,证券,第一创业证券股份有限公司,"First Capital Securities Co.,Ltd",中小板,SZSE,CNY,L,20160511,,S
1250,002798.SZ,002798,帝欧家居,四川,家居用品,帝欧家居股份有限公司,"D&O Home Collection Co.,Ltd",中小板,SZSE,CNY,L,20160525,,N
1251,002799.SZ,002799,环球印务,陕西,广告包装,西安环球印务股份有限公司,"Xi'An Global Printing Co., Ltd.",中小板,SZSE,CNY,L,20160608,,N
1252,002800.SZ,002800,天顺股份,新疆,仓储物流,新疆天顺供应链股份有限公司,"Xinjiang Tianshun Supply Chain Co.,Ltd.",中小板,SZSE,CNY,L,20160530,,N
1253,002801.SZ,002801,微光股份,浙江,电气设备,杭州微光电子股份有限公司,"Hangzhou Weiguang Electronic Co.,Ltd.",中小板,SZSE,CNY,L,20160622,,N
1254,002802.SZ,002802,洪汇新材,江苏,化工原料,无锡洪汇新材料科技股份有限公司,"Wuxi Honghui New Materials Technology Co.,Ltd.",中小板,SZSE,CNY,L,20160629,,N
1255,002803.SZ,002803,吉宏股份,福建,广告包装,厦门吉宏包装科技股份有限公司,Xiamen Jihong Package Technology Ltd.,中小板,SZSE,CNY,L,20160712,,N
1256,002805.SZ,002805,丰元股份,山东,化工原料,山东丰元化学股份有限公司,"Shandong Fengyuan Chemical Co.,Ltd.",中小板,SZSE,CNY,L,20160707,,N
1257,002806.SZ,002806,华锋股份,广东,元器件,广东华锋新能源科技股份有限公司,"Guangdong Huafeng New Energy Technology Co.,Ltd.",中小板,SZSE,CNY,L,20160726,,N
